 주택용(저압) 사용량별 요금표 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 [ 기타계절(7~8월 제외) ] ,,,,,,,," *기후환경요금단가는 매년, 연료비조정단가는 매분기 변동됨 ",,, [ 하계(7~8월) ] ,,,,,,,," *기후환경요금단가는 매년, 연료비조정단가는 매분기 변동됨 "
" 사용량
(kWh) ", 기본요금 , 전력량요금 ," 기후환경요금
(2023.1.1기준) "," 연료비조정요금
(2023.1.1기준) ", 전기요금계 , 부가세 , 기반기금 , 청구금액 ,,," 사용량
(kWh) ", 기본요금 , 전력량요금 ," 기후환경요금
(2023.1.1기준) "," 연료비조정요금
(2023.1.1기준) ", 전기요금계 , 부가세 , 기반기금 , 청구금액 
1,  910 ,  112 ,  9 ,  5 ,"  1,036 ",  104 ,  30 ,"  1,170 ",,,1,  910 ,  112 ,  9 ,  5 ,"  1,036 ",  104 ,  30 ,"  1,170 "
2,  910 ,  224 ,  18 ,  10 ,"  1,162 ",  116 ,  40 ,"  1,310 ",,,2,  910 ,  224 ,  18 ,  10 ,"  1,162 ",  116 ,  40 ,"  1,310 "
3,  910 ,  336 ,  27 ,  15 ,"  1,288 ",  129 ,  40 ,"  1,450 ",,,3,  910 ,  336 ,  27 ,  15 ,"  1,288 ",  129 ,  40 ,"  1,450 "
4,  910 ,  448 ,  36 ,  20 ,"  1,414 ",  141 ,  50 ,"  1,600 ",,,4,  910 ,  448 ,  36 ,  20 ,"  1,414 ",  141 ,  50 ,"  1,600 "
5,  910 ,  560 ,  45 ,  25 ,"  1,540 ",  154 ,  50 ,"  1,740 ",,,5,  910 ,  560 ,  45 ,  25 ,"  1,540 ",  154 ,  50 ,"  1,740 "
6,  910 ,  672 ,  54 ,  30 ,"  1,666 ",  167 ,  60 ,"  1,890 ",,,6,  910 ,  672 ,  54 ,  30 ,"  1,666 ",  167 ,  60 ,"  1,890 "
7,  910 ,  784 ,  63 ,  35 ,"  1,792 ",  179 ,  60 ,"  2,030 ",,,7,  910 ,  784 ,  63 ,  35 ,"  1,792 ",  179 ,  60 ,"  2,030 "
8,  910 ,  896 ,  72 ,  40 ,"  1,918 ",  192 ,  70 ,"  2,180 ",,,8,  910 ,  896 ,  72 ,  40 ,"  1,918 ",  192 ,  70 ,"  2,180 "
9,  910 ,"  1,008 ",  81 ,  45 ,"  2,044 ",  204 ,  70 ,"  2,310 ",,,9,  910 ,"  1,008 ",  81 ,  45 ,"  2,044 ",  204 ,  70 ,"  2,310 "
10,  910 ,"  1,120 ",  90 ,  50 ,"  2,170 ",  217 ,  80 ,"  2,460 ",,,10,  910 ,"  1,120 ",  90 ,  50 ,"  2,170 ",  217 ,  80 ,"  2,460 "
